Country Name,Code,GDP
Eritrea,ERI,
Estonia,EST,31471100656
Eswatini,SWZ,4471598727
Ethiopia,ETH,95912590628
Euro area,EMU,1.33561E+13
Europe & Central Asia,ECS,2.27928E+13
Europe & Central Asia (excluding high income),ECA,3.24846E+12
Europe & Central Asia (IDA & IBRD countries),TEC,4.15516E+12
European Union,EUU,1.56264E+13
Faroe Islands,FRO,
Fiji,FJI,5496250694
Finland,FIN,2.69296E+11
Fragile and conflict affected situations,FCS,1.77846E+12
France,FRA,2.71552E+12
French Polynesia,PYF,
Gabon,GAB,16874450215
"Gambia, The",GMB,1826073740
Georgia,GEO,17477255546
Germany,DEU,3.86112E+12
Ghana,GHA,66983634224
Gibraltar,GIB,
Greece,GRC,2.09853E+11
Greenland,GRL,
Grenada,GRD,1210603704
Guam,GUM,
Guatemala,GTM,76710355347
Guinea,GIN,12296665331
Guinea-Bissau,GNB,1339449165
Guyana,GUY,5173759528
Haiti,HTI,14332163266
Heavily indebted poor countries (HIPC),HPC,7.83062E+11
High income,HIC,5.51406E+13
Honduras,HND,25095395475
"Hong Kong SAR, China",HKG,3.65712E+11
Hungary,HUN,1.63469E+11
IBRD only,IBD,3.16041E+13
Iceland,ISL,24188038474
IDA & IBRD total,IBT,3.39172E+13
IDA blend,IDB,9.91548E+11
IDA only,IDX,1.33197E+12
IDA total,IDA,2.32031E+12
India,IND,2.86893E+12
Indonesia,IDN,1.11919E+12
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,2.34094E+11
Ireland,IRL,3.88699E+11
Isle of Man,IMN,
Israel,ISR,3.94652E+11
Italy,ITA,2.00358E+12
Jamaica,JAM,16458071068
Japan,JPN,5.08177E+12
Jordan,JOR,44502895862
Kazakhstan,KAZ,1.81666E+11
Kenya,KEN,95503088538
Kiribati,KIR,194647202
"Korea, Dem. People’s Rep.",PRK,
"Korea, Rep.",KOR,1.64674E+12
Kosovo,XKX,7926133714
Kuwait,KWT,1.34629E+11
Kyrgyz Republic,KGZ,8454619608
Lao PDR,LAO,18173839147
Late-demographic dividend,LTE,2.29835E+13
Latin America & Caribbean,LCN,5.73377E+12
Latin America & Caribbean (excluding high income),LAC,5.1496E+12
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.48796E+12
Latvia,LVA,34102913582
Least developed countries: UN classification,LDC,1.11524E+12
Lebanon,LBN,51991634492
Lesotho,LSO,2376328637
Liberia,LBR,3070518100
Libya,LBY,52091152228
Liechtenstein,LIE,
Lithuania,LTU,54627411860
Low & middle income,LMY,3.27091E+13
Low income,LIC,5.41512E+11
Lower middle income,LMC,6.33493E+12
Luxembourg,LUX,71104919108
"Macao SAR, China",MAC,53859116536
Madagascar,MDG,14114631281
Malawi,MWI,7666704427
Malaysia,MYS,3.64681E+11
Maldives,MDV,5642179170
Mali,MLI,17279566719
Malta,MLT,14989415684
Marshall Islands,MHL,
Mauritania,MRT,7600656944
Mauritius,MUS,14048430519
Mexico,MEX,1.26887E+12
"Micronesia, Fed. Sts.",FSM,
Middle East & North Africa,MEA,3.64961E+12
Middle East & North Africa (excluding high income),MNA,
Middle East & North Africa (IDA & IBRD countries),TMN,
Middle income,MIC,3.21533E+13
Moldova,MDA,11968713371
Monaco,MCO,
Mongolia,MNG,13996719329
Montenegro,MNE,5542577965
Morocco,MAR,1.197E+11
Mozambique,MOZ,15291448212
Myanmar,MMR,76085852617
Namibia,NAM,12366528259
Nauru,NRU,118223430.1
Nepal,NPL,30641380604
Netherlands,NLD,9.07051E+11
New Caledonia,NCL,
New Zealand,NZL,2.06929E+11
Nicaragua,NIC,12520915291
Niger,NER,12911689659
Nigeria,NGA,4.4812E+11
North America,NAC,2.31771E+13
North Macedonia,MKD,12547040499
Northern Mariana Islands,MNP,
Norway,NOR,4.03336E+11
Not classified,INX,
OECD members,OED,5.36994E+13
Oman,OMN,76331518669
Other small states,OSS,4.32093E+11
Pacific island small states,PSS,10634784073
Pakistan,PAK,2.78222E+11
Palau,PLW,268354919.4
Panama,PAN,66800800000
Papua New Guinea,PNG,24829107011
Paraguay,PRY,38145288940
Peru,PER,2.26848E+11
Philippines,PHL,3.76796E+11
Poland,POL,5.95858E+11
Portugal,PRT,2.38785E+11
Post-demographic dividend,PST,5.07699E+13
Pre-demographic dividend,PRE,1.40379E+12
Puerto Rico,PRI,1.04989E+11
Qatar,QAT,1.75838E+11
Romania,ROM,2.50077E+11
Russian Federation,RUS,1.69988E+12
Rwanda,RWA,10354417725
Samoa,WSM,852250191
San Marino,SMR,
Sao Tome and Principe,STP,418637389
Saudi Arabia,SAU,7.92967E+11
Senegal,SEN,23578084052
Serbia,SRB,51475016532
Seychelles,SYC,1703387387
Sierra Leone,SLE,4121733705
Singapore,SGP,3.72063E+11
Sint Maarten (Dutch part),SXM,
Slovak Republic,SVK,1.0508E+11
Slovenia,SVN,54174227309
Small states,SST,5.20457E+11
Solomon Islands,SLB,1589913622
Somalia,SOM,
South Africa,ZAF,3.51432E+11
South Asia,SAS,3.59184E+12
South Asia (IDA & IBRD),TSA,3.59184E+12
South Sudan,SSD,
Spain,ESP,1.39349E+12
Sri Lanka,LKA,84008783756
St. Kitts and Nevis,KNA,1053244444
St. Lucia,LCA,2122450630
St. Martin (French part),MAF,
St. Vincent and the Grenadines,VCT,824718518.5
Sub-Saharan Africa,SSF,1.76694E+12
Sub-Saharan Africa (excluding high income),SSA,1.75118E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.76694E+12
Sudan,SDN,30513456085
Suriname,SUR,3697371950
Sweden,SWE,5.30884E+11
Switzerland,CHE,7.03082E+11
Syrian Arab Republic,SYR,
Tajikistan,TJK,8116626794
Tanzania,TZA,63177068175
Thailand,THA,5.43549E+11
Timor-Leste,TMP,2017924900
Togo,TGO,5490272413
Tonga,TON,512350059.4
Trinidad and Tobago,TTO,24269714810
Tunisia,TUN,38796687568
Turkey,TUR,7.61425E+11
Turkmenistan,TKM,
Turks and Caicos Islands,TCA,1197415000
Tuvalu,TUV,47271463.33
Uganda,UGA,35165157017
Ukraine,UKR,1.53781E+11
United Arab Emirates,ARE,4.21142E+11
United Kingdom,GBR,2.82911E+12
United States,USA,2.14332E+13
Upper middle income,UMC,2.58078E+13
Uruguay,URY,56045912953
Uzbekistan,UZB,57921286440
Vanuatu,VUT,934239973.8
"Venezuela, RB",VEN,
Vietnam,VNM,2.61921E+11
Virgin Islands (U.S.),VIR,
West Bank and Gaza,PSE,
World,WLD,8.77985E+13
"Yemen, Rep.",YEM,22581081994
Zambia,ZMB,23309773923
Zimbabwe,ZWE,21440758800
